Order ID,Order Date,Customer Name,City,State,Area,Product Category,Sub-Category,Product Name,Quantity,Price Each,Discount,Revenue,Profit Margin,Profit,Total Revenue
ORD-100091,29-10-2023,David Fischer,Sarahhaven,MT,South,Technology,Accessories,Wireless Mouse,6,59.96,0.05,341.77,0.26,88.86,206097.07
ORD-100092,24-09-2024,Jimmy Taylor,Jenkinsberg,NC,West,Furniture,Tables,Dining Table,5,866.86,0.1,3900.87,0.17,663.15,209997.94
ORD-100093,27-06-2024,Amy Lopez,Lake Louisshire,OR,West,Furniture,Tables,Dining Table,3,464.84,0,1394.52,0.21,292.85,211392.46
ORD-100094,07-11-2024,Amanda Gonzalez,Port Michellechester,,South,Technology,Accessories,Wireless Mouse,8,16.44,0,131.52,0.22,28.93,211523.98
ORD-100095,26-05-2023,Charles Sanchez,Dianatown,,South,Technology,Accessories,Wireless Mouse,1,50.87,0.05,48.33,0.28,13.53,211572.31
ORD-100096,25-12-2023,Barbara Rodriguez,Amyborough,FL,Central,Furniture,Chairs,Office Chair,7,293.68,0.05,1952.97,0.13,253.89,213525.28
ORD-100097,09-05-2023,Nancy Simmons,West Traceyburgh,NV,West,Furniture,Chairs,Office Chair,2,200.64,0.05,381.22,0.17,64.81,213906.5
ORD-100098,03-10-2023,Mark Stark,East Amyville,NY,West,Office Supplies,Paper,Copy Paper Pack,4,9.57,0,38.28,0.13,4.98,213944.78
ORD-100099,26-10-2024,Tamara Perez,South Sherritown,NJ,South,Furniture,Bookcases,Wooden Bookcase,1,674.76,0,674.76,0.17,114.71,214619.54
ORD-100100,03-04-2024,Chelsea Martin,East Josephside,CT,East,Office Supplies,Storage,Storage Box,8,11.83,0.05,89.91,0.14,12.59,214709.45
ORD-100101,18-08-2024,Lori Rosario,Ashleyville,HI,West,Furniture,Bookcases,Wooden Bookcase,3,468.63,0,1405.89,0.16,,216115.34
ORD-100102,27-11-2024,Lisa Pearson,Jesseberg,VT,West,Furniture,Chairs,Office Chair,4,161.83,0,647.32,0.17,110.04,216762.66
ORD-100103,08-06-2024,Donna Jones,Hooperview,MA,South,Office Supplies,Binders,Ring Binder,2,17.04,0,34.08,0.1,3.41,216796.74
ORD-100104,07-03-2024,Michael Bailey,Caseymouth,LA,East,Furniture,Bookcases,Wooden Bookcase,6,244.35,0,1466.1,0.13,190.59,218262.84
ORD-100105,12-11-2024,Cindy Walker,North Juanborough,CT,West,Office Supplies,Storage,Storage Box,10,37.62,0,376.2,0.06,22.57,218639.04
ORD-100106,28-06-2023,Laura Gomez,Port Albert,ME,South,Office Supplies,Binders,Ring Binder,1,10.54,0.1,9.49,0.08,0.76,218648.53
ORD-100107,23-02-2024,Eileen Gonzalez,,IA,Central,Office Supplies,Storage,Storage Box,8,29.38,0.05,223.29,0.16,35.73,218871.82
ORD-100108,31-10-2024,Jeffrey Chavez,Matthewburgh,DE,Central,Technology,Phones,Smartphone,8,593.18,,4508.17,0.28,,223379.99
ORD-100109,17-03-2023,Antonio Davidson,Chadstad,ND,South,Furniture,Tables,Dining Table,2,568.45,0.05,1080.06,0.14,151.21,224460.05
ORD-100110,24-08-2024,Jennifer Mcdaniel,Port David,SC,Central,Furniture,Bookcases,Wooden Bookcase,10,481.98,0.1,4337.82,0.18,780.81,228797.87
ORD-100111,18-07-2024,Joseph Garcia,North James,IL,West,Technology,Accessories,Wireless Mouse,4,45.81,0,183.24,0.25,45.81,228981.11
ORD-100112,22-09-2024,Christine Lopez,,NH,West,Furniture,Tables,Dining Table,6,652.1,0.1,3521.34,0.12,422.56,232502.45
ORD-100113,13-01-2024,Alexis Patel,Andreahaven,CA,East,Furniture,Bookcases,Wooden Bookcase,6,649.82,0.05,3703.97,0.17,629.67,236206.42
ORD-100114,23-06-2024,Marcus Bentley,Jessicafort,MO,East,Office Supplies,Paper,Copy Paper Pack,9,5.85,0,52.65,0.07,3.69,236259.07
ORD-100115,20-10-2023,Chelsea Kerr PhD,Hayleyland,ME,East,Technology,Phones,Smartphone,8,1127.74,0,9021.92,0.23,2075.04,245280.99
ORD-100116,11-05-2024,Stefanie Smith,South Dawn,KS,East,Technology,Accessories,Wireless Mouse,6,40.86,0.2,196.13,0.28,54.92,245477.12
ORD-100117,06-01-2023,Billy Buckley,North Melissaside,UT,Central,Technology,Laptops,Laptop,8,1812.05,,13046.76,0.26,3392.16,258523.88
ORD-100118,10-05-2023,Ashley Garcia,West Angela,KY,West,Office Supplies,Storage,Storage Box,5,17.48,0,87.4,0.09,,258611.28
ORD-100119,22-07-2023,Kristine Black,Port Damon,IN,Central,Office Supplies,Storage,Storage Box,1,34.42,0,34.42,0.12,4.13,258645.7
ORD-100120,26-07-2024,Gabrielle Stevens,Kellyfurt,MI,East,Office Supplies,Binders,Ring Binder,3,6.04,0,18.12,0.2,3.62,258663.82
ORD-100121,22-05-2023,Amber Hill,Port Anthony,AK,West,Technology,Phones,Smartphone,8,1066.91,0,8535.28,0.25,2133.82,267199.1
ORD-100122,19-02-2023,Brandi Johnson,Brandyview,FL,East,Office Supplies,Storage,Storage Box,8,34.24,0.1,246.53,0.16,39.44,267445.63
ORD-100123,30-04-2023,John Gonzalez,,KY,East,Technology,Accessories,Wireless Mouse,2,23.08,0.1,41.54,0.29,12.05,267487.17
ORD-100124,19-03-2023,Michelle Barker,New Jessica,WI,East,Office Supplies,Paper,Copy Paper Pack,8,11.66,0,93.28,0.16,14.92,267580.45
ORD-100125,30-03-2024,Marcus Morris,Christineton,GA,Central,Office Supplies,Storage,Storage Box,3,16.57,0.1,44.74,0.1,4.47,267625.19
ORD-100126,23-09-2023,Christopher Ellis,Charlesmouth,OR,Central,Office Supplies,Paper,Copy Paper Pack,10,7.71,0.1,69.39,0.12,8.33,267694.58
ORD-100127,03-12-2023,Joshua Leon,Martineztown,MI,South,Furniture,Chairs,Office Chair,6,244.15,,1464.9,0.15,219.74,269159.48
ORD-100128,22-11-2024,Rachel Walker,West Jesseside,IL,West,Technology,Phones,Smartphone,2,880.49,0.15,1496.83,0.24,359.24,270656.31
ORD-100129,25-10-2023,Johnathan Hansen,Lake Carlosbury,ID,Central,Technology,Phones,Smartphone,7,1011.38,0.05,6725.68,0.18,1210.62,277381.99
ORD-100130,08-08-2023,Cory Alexander,New Stephanieburgh,CT,South,Furniture,Bookcases,Wooden Bookcase,7,486.58,0.2,2724.85,0.21,572.22,280106.84
ORD-100131,09-10-2024,Brian Gonzalez,Marquezhaven,TN,South,Office Supplies,Storage,Storage Box,1,11.34,0.05,10.77,0.1,1.08,280117.61
ORD-100132,01-05-2023,Jane Davila,Smithberg,NJ,West,Office Supplies,Binders,Ring Binder,6,15.73,0,94.38,0.13,12.27,280211.99
ORD-100133,07-06-2023,Pamela Garcia,South Michael,CA,East,Furniture,Bookcases,Wooden Bookcase,8,274.96,0,2199.68,0.21,461.93,282411.67
ORD-100134,28-06-2023,Jenna Carroll,North Scottton,IL,Central,Office Supplies,Binders,Ring Binder,3,16.31,,44.04,0.19,8.37,282455.71
ORD-100135,14-07-2023,Kimberly Gonzalez,North Jacob,DE,East,Office Supplies,Storage,Storage Box,8,33.34,0,266.72,0.07,18.67,282722.43
ORD-100136,21-10-2023,Autumn Roberts,Wilkinsonchester,ND,West,Technology,Phones,Smartphone,8,854.12,0.05,6491.31,0.15,973.7,289213.74
ORD-100137,14-08-2023,James Cardenas,Lake Sergio,DC,West,Technology,Accessories,Wireless Mouse,4,74.72,0.1,268.99,0.15,40.35,289482.73
ORD-100138,26-04-2023,Christian Khan,South Rebecca,NE,East,Technology,Phones,Smartphone,10,548.25,0,5482.5,0.17,932.03,294965.23
ORD-100139,15-10-2024,Kenneth Sims,Gonzaleschester,IA,Central,Office Supplies,Binders,Ring Binder,1,7.26,0.2,5.81,0.19,1.1,294971.04
ORD-100140,10-07-2023,Christopher Irwin,,LA,East,Office Supplies,Paper,Copy Paper Pack,6,9.23,,52.61,0.1,5.26,295023.65
ORD-100141,07-02-2023,Kara Schwartz,North Jason,WA,East,Furniture,Chairs,Office Chair,4,301.19,0.05,1144.52,0.16,183.12,296168.17
ORD-100142,24-05-2023,Raymond Haynes,Lake Brian,UT,East,Technology,Phones,Smartphone,6,742.44,0,4454.64,0.26,1158.21,300622.81
ORD-100143,26-06-2023,Kimberly Singleton,Lake Carmen,MI,South,Office Supplies,Paper,Copy Paper Pack,3,5.98,0.05,17.04,0.1,1.7,300639.85
ORD-100144,21-01-2023,Emily Harvey,Abigailborough,CA,East,Office Supplies,Storage,Storage Box,6,18.8,0,112.8,0.12,13.54,300752.65
ORD-100145,31-10-2024,Cynthia Campbell,Lake Leonard,PA,West,Technology,Phones,Smartphone,4,790.24,0,3160.96,0.3,948.29,303913.61
ORD-100146,28-03-2023,Richard Washington Jr.,North Ashleyfurt,GA,South,Technology,Phones,Smartphone,7,798.75,0.1,5032.12,0.2,,308945.73
ORD-100147,17-02-2024,Craig Douglas,Franklinport,,South,Furniture,Chairs,Office Chair,8,255.11,0,2040.88,0.18,,310986.61
ORD-100148,09-07-2024,William Holder,Walkermouth,,East,Technology,Accessories,Wireless Mouse,1,41.05,0.05,39,0.17,6.63,311025.61
ORD-100149,17-05-2024,Frank Austin,Michellebury,MO,East,Furniture,Chairs,Office Chair,7,293.25,,2052.75,0.18,369.5,313078.36
ORD-100150,05-10-2024,Mr. Matthew Mitchell MD,Davidhaven,NH,Central,Technology,Accessories,Wireless Mouse,7,25.15,0.1,158.44,0.25,39.61,313236.8
ORD-100151,06-04-2023,Andrew Sanford,Cruzville,NV,Central,Furniture,Tables,Dining Table,8,417.67,0.05,3174.29,0.15,476.14,316411.09
ORD-100152,13-07-2023,Stephanie Thompson,Lake Susanmouth,KS,South,Office Supplies,Storage,Storage Box,3,36.11,0,108.33,0.16,17.33,316519.42
ORD-100153,07-01-2023,Jennifer Jefferson,Jeffreyshire,MT,Central,Office Supplies,Storage,Storage Box,8,42.27,0.2,270.53,0.11,29.76,316789.95
ORD-100154,01-04-2024,Christian Robinson,Mathewburgh,KY,Central,Furniture,Chairs,Office Chair,7,326.16,0,2283.12,0.13,296.81,319073.07
ORD-100155,07-02-2024,Megan Hood,Obrienburgh,FL,Central,Furniture,Bookcases,Wooden Bookcase,3,491.52,0,1474.56,0.22,324.4,320547.63
ORD-100156,17-03-2024,Samantha Chavez,Port Tonya,PA,South,Furniture,Chairs,Office Chair,10,309.77,0,3097.7,0.22,681.49,323645.33
ORD-100157,02-06-2023,Jacob Quinn,Teresaview,TN,Central,Technology,Laptops,Laptop,9,1410.58,0,12695.22,0.29,3681.61,336340.55
ORD-100158,04-12-2023,Nicole Morrison,North Kimberly,WY,West,Technology,Laptops,Laptop,10,1592.09,0.2,12736.72,0.22,2802.08,349077.27
ORD-100159,21-06-2023,Terri Martinez,North Danielstad,AZ,East,Technology,Laptops,Laptop,1,1176.15,0.05,1117.34,0.25,279.33,350194.61
ORD-100160,07-09-2024,Cheyenne Pacheco,Martinborough,NY,South,Technology,Phones,Smartphone,4,592.59,0.15,2014.81,0.25,503.7,352209.42
ORD-100161,06-05-2024,Julia Garrison,Mccallfurt,KY,East,Furniture,Bookcases,Wooden Bookcase,5,607.53,0,3037.65,0.16,486.02,355247.07
ORD-100162,15-07-2023,Douglas Wilson,Edwardview,NM,West,Technology,Accessories,Wireless Mouse,7,21.93,0,153.51,0.19,29.17,355400.58
ORD-100163,06-09-2023,Mark Ramirez,Robertberg,SC,Central,Office Supplies,Paper,Copy Paper Pack,2,10.21,0.05,19.4,0.11,2.13,355419.98
ORD-100164,14-05-2023,Donald Doyle,North Juan,NC,Central,Office Supplies,Binders,Ring Binder,10,13.44,0,134.4,0.06,8.06,355554.38
ORD-100165,10-07-2024,Peter Wilson,Danielleton,OK,South,Office Supplies,Paper,Copy Paper Pack,3,5.94,0,17.82,0.16,2.85,355572.2
ORD-100166,15-02-2023,Daniel Edwards,East Michaelfort,NH,Central,Technology,Accessories,Wireless Mouse,7,54.68,0.15,325.35,0.21,68.32,355897.55
ORD-100167,18-12-2024,Ricky Crawford,New Haydenbury,,East,Office Supplies,Binders,Ring Binder,8,9.3,0,74.4,0.06,4.46,355971.95
ORD-100168,07-08-2023,Austin Long,Bryanmouth,IL,South,Technology,Laptops,Laptop,2,1672.67,0,3345.34,0.2,669.07,359317.29
ORD-100169,25-07-2023,Joseph Rogers,Bartonfurt,PA,East,Office Supplies,Storage,Storage Box,8,27.39,0,219.12,0.15,32.87,359536.41
ORD-100170,01-05-2023,Helen Diaz,Port Kyle,MD,Central,Office Supplies,Storage,Storage Box,6,33.61,0,201.66,0.07,14.12,359738.07
ORD-100171,19-11-2023,Chad Clark,South Diane,MI,West,Technology,Laptops,Laptop,10,1766.78,0.05,16784.41,0.16,2685.51,376522.48
ORD-100172,09-03-2024,Janet Calderon,Amandabury,NE,East,Technology,Accessories,Wireless Mouse,5,64.34,0.1,289.53,0.25,72.38,376812.01
ORD-100173,12-07-2023,Lauren Wright,Douglashaven,MS,Central,Technology,Laptops,Laptop,10,872.23,0.05,8286.18,0.16,1325.79,385098.19
ORD-100174,09-05-2023,James Foster,East Timothy,TN,South,Technology,Accessories,Wireless Mouse,10,51.92,0.15,441.32,0.16,70.61,385539.51
ORD-100175,04-12-2023,Christine Stafford,North Bradley,LA,South,Office Supplies,Binders,Ring Binder,8,24.42,0.15,166.06,0.18,29.89,385705.57
ORD-100176,31-05-2023,Joseph Ballard,Brianbury,PA,West,Office Supplies,Binders,Ring Binder,2,15.45,0.05,29.35,0.13,,385734.92
